item,itemLabel,count,date
Q5460604,Wikipedia:List of articles all languages should have,3,2025-01-31
Q10803886,WikiProject Russia,1,2025-01-31
Q10780973,WikiProject Ukraine,1,2025-01-31
Q6173448,Wikipedia:Vital articles/Level/4,5,2025-02-01
Q5460604,Wikipedia:List of articles all languages should have,3,2025-02-01
Q10803886,WikiProject Russia,1,2025-02-01
Q10780973,WikiProject Ukraine,1,2025-02-01
Q6173448,Wikipedia:Vital articles/Level/4,5,2025-02-02
Q5460604,Wikipedia:List of articles all languages should have,3,2025-02-02
Q10780973,WikiProject Ukraine,1,2025-02-02
Q30450476,Q30450476,1,2025-02-02
Q10803886,WikiProject Russia,1,2025-02-02
Q6173448,Wikipedia:Vital articles/Level/4,5,2025-02-03
Q5460604,Wikipedia:List of articles all languages should have,3,2025-02-03
Q10780973,WikiProject Ukraine,1,2025-02-03
Q30450476,Q30450476,1,2025-02-03
Q10803886,WikiProject Russia,1,2025-02-03
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-02-04
Q5460604,Wikipedia:List of articles all languages should have,3,2025-02-04
Q10780973,WikiProject Ukraine,1,2025-02-04
Q30450476,Q30450476,1,2025-02-04
Q10803886,WikiProject Russia,1,2025-02-04
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-02-05
Q5460604,Wikipedia:List of articles all languages should have,3,2025-02-05
Q10780973,WikiProject Ukraine,1,2025-02-05
Q30450476,Q30450476,1,2025-02-05
Q10803886,WikiProject Russia,1,2025-02-05
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-02-06
Q5460604,Wikipedia:List of articles all languages should have,3,2025-02-06
Q10780973,WikiProject Ukraine,1,2025-02-06
Q30450476,Q30450476,1,2025-02-06
Q10803886,WikiProject Russia,1,2025-02-06
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-02-07
Q5460604,Wikipedia:List of articles all languages should have,3,2025-02-07
Q10780973,WikiProject Ukraine,1,2025-02-07
Q30450476,Q30450476,1,2025-02-07
Q10803886,WikiProject Russia,1,2025-02-07
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-02-08
Q5460604,Wikipedia:List of articles all languages should have,3,2025-02-08
Q10780973,WikiProject Ukraine,1,2025-02-08
Q30450476,Q30450476,1,2025-02-08
Q10803886,WikiProject Russia,1,2025-02-08
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-02-09
Q5460604,Wikipedia:List of articles all languages should have,3,2025-02-09
Q10780973,WikiProject Ukraine,1,2025-02-09
Q30450476,Q30450476,1,2025-02-09
Q10803886,WikiProject Russia,1,2025-02-09
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-02-10
Q5460604,Wikipedia:List of articles all languages should have,3,2025-02-10
Q10780973,WikiProject Ukraine,1,2025-02-10
Q30450476,Q30450476,1,2025-02-10
Q10803886,WikiProject Russia,1,2025-02-10
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-02-11
Q5460604,Wikipedia:List of articles all languages should have,3,2025-02-11
Q10780973,WikiProject Ukraine,1,2025-02-11
Q30450476,Q30450476,1,2025-02-11
Q10803886,WikiProject Russia,1,2025-02-11
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-02-12
Q5460604,Wikipedia:List of articles all languages should have,3,2025-02-12
Q10780973,WikiProject Ukraine,1,2025-02-12
Q30450476,Q30450476,1,2025-02-12
Q10803886,WikiProject Russia,1,2025-02-12
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-02-13
Q5460604,Wikipedia:List of articles all languages should have,3,2025-02-13
Q10780973,WikiProject Ukraine,1,2025-02-13
Q30450476,Q30450476,1,2025-02-13
Q10803886,WikiProject Russia,1,2025-02-13
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-02-14
Q5460604,Wikipedia:List of articles all languages should have,3,2025-02-14
Q10780973,WikiProject Ukraine,1,2025-02-14
Q30450476,Q30450476,1,2025-02-14
Q10803886,WikiProject Russia,1,2025-02-14
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-02-15
Q5460604,Wikipedia:List of articles all languages should have,3,2025-02-15
Q10780973,WikiProject Ukraine,1,2025-02-15
Q30450476,Q30450476,1,2025-02-15
Q10803886,WikiProject Russia,1,2025-02-15
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-02-16
Q5460604,Wikipedia:List of articles all languages should have,3,2025-02-16
Q10780973,WikiProject Ukraine,1,2025-02-16
Q30450476,Q30450476,1,2025-02-16
Q10803886,WikiProject Russia,1,2025-02-16
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-02-17
Q5460604,Wikipedia:List of articles all languages should have,3,2025-02-17
Q10780973,WikiProject Ukraine,1,2025-02-17
Q30450476,Q30450476,1,2025-02-17
Q10803886,WikiProject Russia,1,2025-02-17
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-02-18
Q5460604,Wikipedia:List of articles all languages should have,3,2025-02-18
Q10780973,WikiProject Ukraine,1,2025-02-18
Q30450476,Q30450476,1,2025-02-18
Q10803886,WikiProject Russia,1,2025-02-18
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-02-19
Q5460604,Wikipedia:List of articles all languages should have,3,2025-02-19
Q10780973,WikiProject Ukraine,1,2025-02-19
Q30450476,Q30450476,1,2025-02-19
Q10803886,WikiProject Russia,1,2025-02-19
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-02-20
Q5460604,Wikipedia:List of articles all languages should have,3,2025-02-20
Q10780973,WikiProject Ukraine,1,2025-02-20
Q30450476,Q30450476,1,2025-02-20
Q10803886,WikiProject Russia,1,2025-02-20
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-02-21
Q5460604,Wikipedia:List of articles all languages should have,3,2025-02-21
Q10780973,WikiProject Ukraine,1,2025-02-21
Q30450476,Q30450476,1,2025-02-21
Q10803886,WikiProject Russia,1,2025-02-21
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-02-22
Q5460604,Wikipedia:List of articles all languages should have,3,2025-02-22
Q10780973,WikiProject Ukraine,1,2025-02-22
Q30450476,Q30450476,1,2025-02-22
Q10803886,WikiProject Russia,1,2025-02-22
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-02-23
Q5460604,Wikipedia:List of articles all languages should have,3,2025-02-23
Q10780973,WikiProject Ukraine,1,2025-02-23
Q30450476,Q30450476,1,2025-02-23
Q10803886,WikiProject Russia,1,2025-02-23
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-02-24
Q5460604,Wikipedia:List of articles all languages should have,3,2025-02-24
Q10780973,WikiProject Ukraine,1,2025-02-24
Q30450476,Q30450476,1,2025-02-24
Q10803886,WikiProject Russia,1,2025-02-24
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-02-25
Q5460604,Wikipedia:List of articles all languages should have,3,2025-02-25
Q10780973,WikiProject Ukraine,1,2025-02-25
Q30450476,Q30450476,1,2025-02-25
Q10803886,WikiProject Russia,1,2025-02-25
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-02-26
Q5460604,Wikipedia:List of articles all languages should have,3,2025-02-26
Q10780973,WikiProject Ukraine,1,2025-02-26
Q30450476,Q30450476,1,2025-02-26
Q10803886,WikiProject Russia,1,2025-02-26
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-02-27
Q5460604,Wikipedia:List of articles all languages should have,3,2025-02-27
Q10780973,WikiProject Ukraine,1,2025-02-27
Q30450476,Q30450476,1,2025-02-27
Q10803886,WikiProject Russia,1,2025-02-27
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-02-28
Q5460604,Wikipedia:List of articles all languages should have,3,2025-02-28
Q10780973,WikiProject Ukraine,1,2025-02-28
Q30450476,Q30450476,1,2025-02-28
Q10803886,WikiProject Russia,1,2025-02-28
Q6173448,Wikipedia:Vital articles/Level/4,5,2025-03-01
Q5460604,Wikipedia:List of articles all languages should have,3,2025-03-01
Q10780973,WikiProject Ukraine,1,2025-03-01
Q30450476,Q30450476,1,2025-03-01
Q10803886,WikiProject Russia,1,2025-03-01
Q6173448,Wikipedia:Vital articles/Level/4,5,2025-03-02
Q5460604,Wikipedia:List of articles all languages should have,3,2025-03-02
Q10780973,WikiProject Ukraine,1,2025-03-02
Q30450476,Q30450476,1,2025-03-02
Q10803886,WikiProject Russia,1,2025-03-02
Q6173448,Wikipedia:Vital articles/Level/4,5,2025-03-03
Q5460604,Wikipedia:List of articles all languages should have,3,2025-03-03
Q10780973,WikiProject Ukraine,1,2025-03-03
Q30450476,Q30450476,1,2025-03-03
Q10803886,WikiProject Russia,1,2025-03-03
Q6173448,Wikipedia:Vital articles/Level/4,5,2025-03-04
Q5460604,Wikipedia:List of articles all languages should have,3,2025-03-04
Q10780973,WikiProject Ukraine,1,2025-03-04
Q30450476,Q30450476,1,2025-03-04
Q10803886,WikiProject Russia,1,2025-03-04
Q6173448,Wikipedia:Vital articles/Level/4,5,2025-03-05
Q5460604,Wikipedia:List of articles all languages should have,3,2025-03-05
Q10780973,WikiProject Ukraine,1,2025-03-05
Q30450476,Q30450476,1,2025-03-05
Q10803886,WikiProject Russia,1,2025-03-05
Q6173448,Wikipedia:Vital articles/Level/4,5,2025-03-06
Q5460604,Wikipedia:List of articles all languages should have,3,2025-03-06
Q10780973,WikiProject Ukraine,1,2025-03-06
Q30450476,Q30450476,1,2025-03-06
Q10803886,WikiProject Russia,1,2025-03-06
Q6173448,Wikipedia:Vital articles/Level/4,5,2025-03-07
Q5460604,Wikipedia:List of articles all languages should have,3,2025-03-07
Q10780973,WikiProject Ukraine,1,2025-03-07
Q30450476,Q30450476,1,2025-03-07
Q10803886,WikiProject Russia,1,2025-03-07
Q6173448,Wikipedia:Vital articles/Level/4,5,2025-03-08
Q5460604,Wikipedia:List of articles all languages should have,3,2025-03-08
Q10780973,WikiProject Ukraine,1,2025-03-08
Q30450476,Q30450476,1,2025-03-08
Q10803886,WikiProject Russia,1,2025-03-08
Q6173448,Wikipedia:Vital articles/Level/4,5,2025-03-09
Q5460604,Wikipedia:List of articles all languages should have,3,2025-03-09
Q10780973,WikiProject Ukraine,1,2025-03-09
Q30450476,Q30450476,1,2025-03-09
Q10803886,WikiProject Russia,1,2025-03-09
Q6173448,Wikipedia:Vital articles/Level/4,5,2025-03-10
Q5460604,Wikipedia:List of articles all languages should have,3,2025-03-10
Q10780973,WikiProject Ukraine,1,2025-03-10
Q30450476,Q30450476,1,2025-03-10
Q10803886,WikiProject Russia,1,2025-03-10
Q6173448,Wikipedia:Vital articles/Level/4,5,2025-03-11
Q5460604,Wikipedia:List of articles all languages should have,3,2025-03-11
Q10780973,WikiProject Ukraine,1,2025-03-11
Q30450476,Q30450476,1,2025-03-11
Q10803886,WikiProject Russia,1,2025-03-11
Q6173448,Wikipedia:Vital articles/Level/4,5,2025-03-12
Q5460604,Wikipedia:List of articles all languages should have,3,2025-03-12
Q10780973,WikiProject Ukraine,1,2025-03-12
Q30450476,Q30450476,1,2025-03-12
Q10803886,WikiProject Russia,1,2025-03-12
Q6173448,Wikipedia:Vital articles/Level/4,5,2025-03-13
Q5460604,Wikipedia:List of articles all languages should have,3,2025-03-13
Q10780973,WikiProject Ukraine,1,2025-03-13
Q30450476,Q30450476,1,2025-03-13
Q10803886,WikiProject Russia,1,2025-03-13
Q6173448,Wikipedia:Vital articles/Level/4,5,2025-03-14
Q5460604,Wikipedia:List of articles all languages should have,3,2025-03-14
Q10780973,WikiProject Ukraine,1,2025-03-14
Q30450476,Q30450476,1,2025-03-14
Q10803886,WikiProject Russia,1,2025-03-14
Q6173448,Wikipedia:Vital articles/Level/4,5,2025-03-15
Q5460604,Wikipedia:List of articles all languages should have,3,2025-03-15
Q10780973,WikiProject Ukraine,1,2025-03-15
Q30450476,Q30450476,1,2025-03-15
Q10803886,WikiProject Russia,1,2025-03-15
Q6173448,Wikipedia:Vital articles/Level/4,5,2025-03-16
Q5460604,Wikipedia:List of articles all languages should have,3,2025-03-16
Q10780973,WikiProject Ukraine,1,2025-03-16
Q30450476,Q30450476,1,2025-03-16
Q10803886,WikiProject Russia,1,2025-03-16
Q6173448,Wikipedia:Vital articles/Level/4,5,2025-03-17
Q5460604,Wikipedia:List of articles all languages should have,3,2025-03-17
Q10780973,WikiProject Ukraine,1,2025-03-17
Q30450476,Q30450476,1,2025-03-17
Q10803886,WikiProject Russia,1,2025-03-17
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-03-18
Q5460604,Wikipedia:List of articles all languages should have,3,2025-03-18
Q10780973,WikiProject Ukraine,1,2025-03-18
Q30450476,Q30450476,1,2025-03-18
Q10803886,WikiProject Russia,1,2025-03-18
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-03-19
Q5460604,Wikipedia:List of articles all languages should have,3,2025-03-19
Q10780973,WikiProject Ukraine,1,2025-03-19
Q30450476,Q30450476,1,2025-03-19
Q10803886,WikiProject Russia,1,2025-03-19
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-03-20
Q5460604,Wikipedia:List of articles all languages should have,3,2025-03-20
Q10780973,WikiProject Ukraine,1,2025-03-20
Q30450476,Q30450476,1,2025-03-20
Q10803886,WikiProject Russia,1,2025-03-20
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-03-21
Q5460604,Wikipedia:List of articles all languages should have,3,2025-03-21
Q10780973,WikiProject Ukraine,1,2025-03-21
Q30450476,Q30450476,1,2025-03-21
Q10803886,WikiProject Russia,1,2025-03-21
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-03-22
Q5460604,Wikipedia:List of articles all languages should have,3,2025-03-22
Q10780973,WikiProject Ukraine,1,2025-03-22
Q30450476,Q30450476,1,2025-03-22
Q10803886,WikiProject Russia,1,2025-03-22
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-03-23
Q5460604,Wikipedia:List of articles all languages should have,3,2025-03-23
Q10780973,WikiProject Ukraine,1,2025-03-23
Q30450476,Q30450476,1,2025-03-23
Q10803886,WikiProject Russia,1,2025-03-23
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-03-25
Q5460604,Wikipedia:List of articles all languages should have,3,2025-03-25
Q10780973,WikiProject Ukraine,1,2025-03-25
Q30450476,Q30450476,1,2025-03-25
Q10803886,WikiProject Russia,1,2025-03-25
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-03-26
Q5460604,Wikipedia:List of articles all languages should have,3,2025-03-26
Q10780973,WikiProject Ukraine,1,2025-03-26
Q30450476,Q30450476,1,2025-03-26
Q10803886,WikiProject Russia,1,2025-03-26
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-03-27
Q5460604,Wikipedia:List of articles all languages should have,3,2025-03-27
Q10780973,WikiProject Ukraine,1,2025-03-27
Q30450476,Q30450476,1,2025-03-27
Q10803886,WikiProject Russia,1,2025-03-27
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-03-28
Q5460604,Wikipedia:List of articles all languages should have,3,2025-03-28
Q10780973,WikiProject Ukraine,1,2025-03-28
Q30450476,Q30450476,1,2025-03-28
Q10803886,WikiProject Russia,1,2025-03-28
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-03-29
Q5460604,Wikipedia:List of articles all languages should have,3,2025-03-29
Q10780973,WikiProject Ukraine,1,2025-03-29
Q30450476,Q30450476,1,2025-03-29
Q10803886,WikiProject Russia,1,2025-03-29
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-03-30
Q5460604,Wikipedia:List of articles all languages should have,3,2025-03-30
Q10780973,WikiProject Ukraine,1,2025-03-30
Q30450476,Q30450476,1,2025-03-30
Q10803886,WikiProject Russia,1,2025-03-30
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-03-31
Q5460604,Wikipedia:List of articles all languages should have,3,2025-03-31
Q10780973,WikiProject Ukraine,1,2025-03-31
Q30450476,Q30450476,1,2025-03-31
Q10803886,WikiProject Russia,1,2025-03-31
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-04-01
Q5460604,Wikipedia:List of articles all languages should have,3,2025-04-01
Q10780973,WikiProject Ukraine,1,2025-04-01
Q30450476,Q30450476,1,2025-04-01
Q10803886,WikiProject Russia,1,2025-04-01
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-04-02
Q5460604,Wikipedia:List of articles all languages should have,3,2025-04-02
Q10780973,WikiProject Ukraine,1,2025-04-02
Q30450476,Q30450476,1,2025-04-02
Q10803886,WikiProject Russia,1,2025-04-02
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-04-03
Q5460604,Wikipedia:List of articles all languages should have,3,2025-04-03
Q10780973,WikiProject Ukraine,1,2025-04-03
Q30450476,Q30450476,1,2025-04-03
Q10803886,WikiProject Russia,1,2025-04-03
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-04-04
Q5460604,Wikipedia:List of articles all languages should have,3,2025-04-04
Q10780973,WikiProject Ukraine,1,2025-04-04
Q30450476,Q30450476,1,2025-04-04
Q10803886,WikiProject Russia,1,2025-04-04
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-04-05
Q5460604,Wikipedia:List of articles all languages should have,3,2025-04-05
Q10780973,WikiProject Ukraine,1,2025-04-05
Q30450476,Q30450476,1,2025-04-05
Q10803886,WikiProject Russia,1,2025-04-05
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-04-06
Q5460604,Wikipedia:List of articles all languages should have,3,2025-04-06
Q10780973,WikiProject Ukraine,1,2025-04-06
Q30450476,Q30450476,1,2025-04-06
Q10803886,WikiProject Russia,1,2025-04-06
Q6173448,Wikipedia:Vital articles/Level/4,5,2025-04-07
Q5460604,Wikipedia:List of articles all languages should have,3,2025-04-07
Q10780973,WikiProject Ukraine,1,2025-04-07
Q30450476,Q30450476,1,2025-04-07
Q10803886,WikiProject Russia,1,2025-04-07
